emerge saleintended2 ebitbeforedummy equitybefore manufacturing prime1yearbeffile lnhqtohqctcity prepack3 diploanres commcred24 lnassetscurrdollar lnjudgeexp
1 1 1 0.23210019 1 7.25 0.00000000 1 1 1 7.10142882 1.79175947
1 0 1 -0.69141531 1 6.00 2.63905733 1 1 1 6.06610809 2.83321334
1 0 1 -0.02151184 1 4.75 4.60517019 2 NA NA 6.36727768 4.15888308
1 1 1 0.23966566 1 8.75 0.00000000 0 1 1 7.09701107 2.39789527
1 0 1 -0.07832134 1 8.00 0.00000000 0 1 NA 6.28484287 1.09861229
1 0 1 0.00639075 1 4.25 0.00000000 1 1 1 6.48798839 1.38629436
1 0 1 0.01086113 1 5.00 3.98898405 1 1 1 6.02218772 1.94591015
1 0 1 0.16592628 1 8.50 3.46573590 1 1 1 8.33435150 0.00000000
1 0 0 0.25603339 1 8.50 0.00000000 0 1 1 6.31191628 3.21887582
0 0 0 0.32711868 1 7.75 4.41884061 1 1 1 6.10329658 0.00000000
1 0 1 -0.03960396 1 7.50 1.79175947 0 1 1 7.11655647 0.00000000
1 1 1 0.49565217 1 6.50 0.00000000 1 1 1 6.13122649 1.38629436
1 0 NA 0.12060354 1 7.25 0.00000000 1 1 1 5.25853650 1.79175947
1 0 1 0.07704750 1 9.50 0.00000000 1 1 1 7.75923012 1.09861229
1 0 1 0.23967159 1 7.75 0.00000000 1 1 1 7.73621976 3.43398720
1 0 1 0.16715675 1 8.25 0.00000000 1 1 1 7.42856490 2.56494936
0 0 1 0.06199021 1 4.75 0.00000000 1 1 1 6.41836494 0.69314718
1 1 0 0.13489713 1 4.00 3.17805383 1 1 1 6.46926582 2.56494936
0 0 0 0.05444503 1 5.00 0.00000000 0 1 1 6.63384461 4.09434456
1 0 0 -0.40660081 1 4.00 0.00000000 2 1 NA 6.79211994 4.07753744
1 0 1 0.18166238 1 8.50 0.00000000 0 1 NA 5.45275372 2.48490665
1 0 0 0.19025157 0 8.50 0.00000000 1 NA 0 5.53890783 1.60943791
0 1 0 -0.12457627 0 8.75 2.07944154 1 NA 1 5.55914198 3.17805383
1 0 1 -0.52669077 0 7.75 0.00000000 0 NA 0 5.65224354 3.46573590
1 0 0 -0.17493644 0 8.50 0.00000000 1 NA 1 5.85813313 1.79175947
0 0 0 -0.21829817 0 8.50 0.00000000 1 NA 1 5.35162114 0.69314718
1 0 0 -0.14817162 0 8.50 0.00000000 1 NA 0 6.51984026 1.09861229
0 0 1 0.18224002 0 8.50 0.00000000 1 NA 1 5.93261647 1.94591015
0 0 1 0.40542310 1 7.50 0.00000000 1 1 1 7.53021709 1.60943791
1 0 1 -0.74199943 0 9.50 0.00000000 1 1 1 6.55279315 1.38629436
0 0 0 0.28446771 1 4.75 3.89182030 1 1 1 6.44619590 0.00000000
1 0 0 -0.02525641 0 7.75 0.00000000 1 1 0 5.96614674 0.69314718
1 0 1 0.15495868 1 4.75 0.00000000 1 NA 1 6.18208491 2.07944154
1 0 0 0.12515337 0 5.00 0.00000000 0 NA 0 6.70318811 0.00000000
0 1 0 0.27293065 0 5.00 0.00000000 0 NA NA 5.87941504 1.79175947
0 0 1 0.32011913 0 5.00 0.00000000 1 1 1 6.18795607 1.38629436
1 0 0 0.09328377 0 4.75 0.00000000 1 1 NA 5.98680370 4.12713439
0 1 1 0.29039813 0 8.50 2.94443898 1 1 1 6.05678401 1.09861229
1 0 0 -0.56658874 1 3.25 4.60517019 0 1 1 5.65812241 4.09434456
1 1 0 0.17100372 1 4.75 3.93182563 1 1 1 5.59471138 1.79175947
1 0 1 0.23545174 1 4.00 3.17805383 1 1 1 6.53186839 0.00000000
1 1 0 0.42793501 1 6.00 2.48490665 1 NA 1 8.24695803 2.89037176
1 1 0 -0.49152542 1 5.00 NA 1 NA 1 6.56244409 4.34380542
0 1 1 0.23362445 1 4.75 2.99573227 1 1 1 6.12686918 2.07944154
1 0 1 -0.45717464 1 6.00 0.00000000 0 1 NA 7.71757377 1.09861229
1 0 1 0.29343481 1 4.00 2.99573227 0 NA NA 6.25444401 4.36944785
1 0 1 -0.28064617 1 8.00 2.48490665 1 1 1 7.55794277 0.00000000
1 0 0 0.28666667 1 7.75 2.07944154 1 1 0 5.70378247 1.60943791
1 0 1 0.13518013 0 4.25 0.00000000 0 1 1 6.47495494 0.69314718
0 0 1 -0.26986379 0 8.25 2.19722458 0 NA 1 7.47420481 0.00000000
1 0 0 0.25870303 1 8.50 3.25809654 1 1 1 5.89227937 1.79175947
